,playerid,first,last,season4,gspos,mpg,ppg,rpg,apg,bpg,spg,gf,dgf3,to_ast,fga3,measure,stats,stats_x,stats_y,ID1,playerName
34,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,d,2.059197230944912,-1.210365763910917,-1.665925554604267,8,Robert Brickey
35,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,t,1.8516001355768665,-1.088343252834826,-1.4979759764686418,8,Robert Brickey
36,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,p,2.7940837707051824,0.0,2.7940837707051824,2,Jeff Capel
37,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,r,2.368262356402133,2.252351346352764,0.7318333152667177,4,Jeff Capel
38,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,a,3.404544161637724,-3.237913909940178,1.0520620040460649,10,Jeff Capel
39,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,b,2.3205048167031874,-1.363958509131782,-1.877327832241801,8,Jeff Capel
40,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,s,1.67719531132719,0.9858306692122054,-1.3568795097496775,6,Jeff Capel
41,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,z,2.7940837707051824,0.0,2.7940837707051824,11,Jeff Capel
42,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,g,1.5669702432782104,-0.9210419997800809,-1.267705556491918,8,Jeff Capel
43,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,d,2.006732367828398,-1.1795276911074868,-1.623480588735452,8,Jeff Capel
44,68,Jeff,Capel,1996,<Null>,35.0,16.580645161290324,3.935483870967742,3.6774193548387095,0.16129032258064516,0.8064516129032258,0.1443089430894309,0.33031674208144796,1.4493548387096769,7.129032258064516,t,3.1775823184258645,-1.8677360247160484,-2.57071809663187,8,Jeff Capel
45,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,p,2.81191272908746,0.0,2.81191272908746,2,Chris Carrawell
46,70,Chris,Carrawell,2000,<Null>,35.64705882352941,16.941176470588236,6.0588235294117645,3.235294117647059,1.0588235294117647,1.0,0.3246445497630332,0.37662337662337664,1.9902941176470585,2.264705882352941,r,3.1722652161096447,3.0170035051975312,0.9802838624423955,4,Chris Carrawell
